d_star,instances,sequence_length,length_offset,mc_samples,hits,random_policy_pass1,wilson_lo,wilson_hi,analytic_note
1,18,1,0,200000,11101,0.055505,0.054510,0.056517,exactly 1/18 per attempt
1,18,2,1,200000,1244,0.006220,0.005885,0.006574,
1,18,3,2,200000,1367,0.006835,0.006483,0.007206,
2,50,2,0,200000,711,0.003555,0.003304,0.003826,
2,50,3,1,200000,167,0.000835,0.000718,0.000972,
2,50,4,2,200000,156,0.000780,0.000667,0.000912,
3,50,3,0,200000,41,0.000205,0.000151,0.000278,
3,50,4,1,200000,12,0.000060,0.000034,0.000105,
3,50,5,2,200000,9,0.000045,0.000024,0.000086,
4,50,4,0,200000,3,0.000015,0.000005,0.000044,
4,50,5,1,200000,1,0.000005,0.000001,0.000028,
4,50,6,2,200000,0,0.000000,0.000000,0.000019,
5,50,5,0,200000,0,0.000000,0.000000,0.000019,
5,50,6,1,200000,0,0.000000,0.000000,0.000019,
5,50,7,2,200000,0,0.000000,0.000000,0.000019,
6,50,6,0,200000,0,0.000000,0.000000,0.000019,
6,50,7,1,200000,0,0.000000,0.000000,0.000019,
6,50,8,2,200000,0,0.000000,0.000000,0.000019,
7,50,7,0,200000,0,0.000000,0.000000,0.000019,
7,50,8,1,200000,0,0.000000,0.000000,0.000019,
7,50,9,2,200000,0,0.000000,0.000000,0.000019,
8,50,8,0,200000,0,0.000000,0.000000,0.000019,
8,50,9,1,200000,0,0.000000,0.000000,0.000019,
8,50,10,2,200000,0,0.000000,0.000000,0.000019,
9,50,9,0,200000,0,0.000000,0.000000,0.000019,
9,50,10,1,200000,0,0.000000,0.000000,0.000019,
9,50,11,2,200000,0,0.000000,0.000000,0.000019,
10,50,10,0,200000,0,0.000000,0.000000,0.000019,
10,50,11,1,200000,0,0.000000,0.000000,0.000019,
10,50,12,2,200000,0,0.000000,0.000000,0.000019,
