baseline,d_star,solved,n,rate
bfs-ball1(19),1,18,18,1.0
bfs-ball1(19),2,50,50,1.0
bfs-ball1(19),3,0,50,0.0
bfs-ball1(19),4,0,50,0.0
bfs-ball1(19),5,0,50,0.0
bfs-ball1(19),6,0,50,0.0
bfs-ball1(19),7,0,50,0.0
bfs-ball1(19),8,0,50,0.0
bfs-ball1(19),9,0,50,0.0
bfs-ball1(19),10,0,50,0.0
bfs-ball2(262),1,18,18,1.0
bfs-ball2(262),2,50,50,1.0
bfs-ball2(262),3,50,50,1.0
bfs-ball2(262),4,0,50,0.0
bfs-ball2(262),5,0,50,0.0
bfs-ball2(262),6,0,50,0.0
bfs-ball2(262),7,0,50,0.0
bfs-ball2(262),8,0,50,0.0
bfs-ball2(262),9,0,50,0.0
bfs-ball2(262),10,0,50,0.0
bfs-ball3(3502),1,18,18,1.0
bfs-ball3(3502),2,50,50,1.0
bfs-ball3(3502),3,50,50,1.0
bfs-ball3(3502),4,50,50,1.0
bfs-ball3(3502),5,0,50,0.0
bfs-ball3(3502),6,0,50,0.0
bfs-ball3(3502),7,0,50,0.0
bfs-ball3(3502),8,0,50,0.0
bfs-ball3(3502),9,0,50,0.0
bfs-ball3(3502),10,0,50,0.0
bfs-ball4(46741),1,18,18,1.0
bfs-ball4(46741),2,50,50,1.0
bfs-ball4(46741),3,50,50,1.0
bfs-ball4(46741),4,50,50,1.0
bfs-ball4(46741),5,50,50,1.0
bfs-ball4(46741),6,0,50,0.0
bfs-ball4(46741),7,0,50,0.0
bfs-ball4(46741),8,0,50,0.0
bfs-ball4(46741),9,0,50,0.0
bfs-ball4(46741),10,0,50,0.0
bfs-ball5(621649),1,18,18,1.0
bfs-ball5(621649),2,50,50,1.0
bfs-ball5(621649),3,50,50,1.0
bfs-ball5(621649),4,50,50,1.0
bfs-ball5(621649),5,50,50,1.0
bfs-ball5(621649),6,50,50,1.0
bfs-ball5(621649),7,0,50,0.0
bfs-ball5(621649),8,0,50,0.0
bfs-ball5(621649),9,0,50,0.0
bfs-ball5(621649),10,0,50,0.0
greedy-eps0.25,1,341,360,0.9472
greedy-eps0.25,2,944,1000,0.944
greedy-eps0.25,3,933,1000,0.933
greedy-eps0.25,4,911,1000,0.911
greedy-eps0.25,5,862,1000,0.862
greedy-eps0.5,1,276,360,0.7667
greedy-eps0.5,2,621,1000,0.621
greedy-eps0.5,3,454,1000,0.454
greedy-eps0.5,4,381,1000,0.381
greedy-eps0.5,5,310,1000,0.31
