arm,d_star,n_success,optimal_length_successes,median_solution_length,mean_completion_tokens,mean_reasoning_tokens,parse_strict,parse_lenient,parse_none,lenient_rescues
gpt55-base,1,2,2,1,12,0,18,0,0,0
gpt55-base,2,0,0,,26,0,50,0,0,0
gpt55-base,3,0,0,,36,0,50,0,0,0
gpt55-base,4,0,0,,43,0,50,0,0,0
gpt55-base,5,0,0,,47,0,50,0,0,0
gpt55-base,6,0,0,,47,0,50,0,0,0
gpt55-base,7,0,0,,47,0,50,0,0,0
gpt55-base,8,0,0,,54,0,50,0,0,0
gpt55-base,9,0,0,,46,0,50,0,0,0
gpt55-base,10,0,0,,53,0,50,0,0,0
gpt55-reason,1,16,16,1,833,825,18,0,0,0
gpt55-reason,2,44,44,2,4282,4272,50,0,0,0
gpt55-reason,3,29,28,3,11801,11783,49,0,1,0
gpt55-reason,4,10,8,4,15890,15849,49,0,0,0
gpt55-reason,5,4,4,5,14401,14347,49,0,0,0
gpt55-reason,6,1,0,65,13498,13427,47,0,1,0
gpt55-reason,7,0,0,,10568,10503,48,0,1,0
gpt55-reason,8,0,0,,10429,10357,48,0,1,0
gpt55-reason,9,0,0,,9102,9039,49,0,0,0
gpt55-reason,10,0,0,,11239,11161,50,0,0,0
