arm,d_star,category,count
gpt55-base,1,wrong_solution,16
gpt55-base,2,wrong_solution,50
gpt55-base,3,wrong_solution,50
gpt55-base,4,wrong_solution,50
gpt55-base,5,wrong_solution,50
gpt55-base,6,wrong_solution,50
gpt55-base,7,wrong_solution,50
gpt55-base,8,wrong_solution,50
gpt55-base,9,wrong_solution,50
gpt55-base,10,wrong_solution,50
gpt55-reason,1,wrong_solution,2
gpt55-reason,2,wrong_solution,6
gpt55-reason,3,format_error,1
gpt55-reason,3,wrong_solution,20
gpt55-reason,4,compute_bound_truncation,1
gpt55-reason,4,wrong_solution,39
gpt55-reason,5,timeout,1
gpt55-reason,5,wrong_solution,45
gpt55-reason,6,compute_bound_truncation,1
gpt55-reason,6,format_error,1
gpt55-reason,6,timeout,1
gpt55-reason,6,wrong_solution,46
gpt55-reason,7,format_error,1
gpt55-reason,7,timeout,1
gpt55-reason,7,wrong_solution,48
gpt55-reason,8,compute_bound_truncation,1
gpt55-reason,8,format_error,1
gpt55-reason,8,wrong_solution,48
gpt55-reason,9,compute_bound_truncation,1
gpt55-reason,9,wrong_solution,49
gpt55-reason,10,wrong_solution,50
