arm,d_star,n,solved,pass1,wilson_lo,wilson_hi,wrong_solution,format_error,compute_bound_truncation,timeout
gpt55-base,1,18,2,0.1111,0.031,0.328,16,0,0,0
gpt55-base,2,50,0,0.0,0.0,0.0714,50,0,0,0
gpt55-base,3,50,0,0.0,0.0,0.0714,50,0,0,0
gpt55-base,4,50,0,0.0,0.0,0.0714,50,0,0,0
gpt55-base,5,50,0,0.0,0.0,0.0714,50,0,0,0
gpt55-base,6,50,0,0.0,0.0,0.0714,50,0,0,0
gpt55-base,7,50,0,0.0,0.0,0.0714,50,0,0,0
gpt55-base,8,50,0,0.0,0.0,0.0714,50,0,0,0
gpt55-base,9,50,0,0.0,0.0,0.0714,50,0,0,0
gpt55-base,10,50,0,0.0,0.0,0.0714,50,0,0,0
gpt55-reason,1,18,16,0.8889,0.672,0.969,2,0,0,0
gpt55-reason,2,50,44,0.88,0.7619,0.9438,6,0,0,0
gpt55-reason,3,50,29,0.58,0.4423,0.7063,20,1,0,0
gpt55-reason,4,50,10,0.2,0.1124,0.3304,39,0,1,0
gpt55-reason,5,50,4,0.08,0.0315,0.1884,45,0,0,1
gpt55-reason,6,50,1,0.02,0.0035,0.105,46,1,1,1
gpt55-reason,7,50,0,0.0,0.0,0.0714,48,1,0,1
gpt55-reason,8,50,0,0.0,0.0,0.0714,48,1,1,0
gpt55-reason,9,50,0,0.0,0.0,0.0714,49,0,1,0
gpt55-reason,10,50,0,0.0,0.0,0.0714,50,0,0,0
