manifest,instance_id,d_star,n_optimal_first_moves
dstar,rubiks-d01-i001,1,1
dstar,rubiks-d01-i002,1,1
dstar,rubiks-d01-i003,1,1
dstar,rubiks-d01-i004,1,1
dstar,rubiks-d01-i005,1,1
dstar,rubiks-d01-i006,1,1
dstar,rubiks-d01-i007,1,1
dstar,rubiks-d01-i008,1,1
dstar,rubiks-d01-i009,1,1
dstar,rubiks-d01-i010,1,1
dstar,rubiks-d01-i011,1,1
dstar,rubiks-d01-i012,1,1
dstar,rubiks-d01-i013,1,1
dstar,rubiks-d01-i014,1,1
dstar,rubiks-d01-i015,1,1
dstar,rubiks-d01-i016,1,1
dstar,rubiks-d01-i017,1,1
dstar,rubiks-d01-i018,1,1
dstar,rubiks-d02-i001,2,1
dstar,rubiks-d02-i002,2,2
dstar,rubiks-d02-i003,2,1
dstar,rubiks-d02-i004,2,1
dstar,rubiks-d02-i005,2,1
dstar,rubiks-d02-i006,2,1
dstar,rubiks-d02-i007,2,1
dstar,rubiks-d02-i008,2,1
dstar,rubiks-d02-i009,2,1
dstar,rubiks-d02-i010,2,1
dstar,rubiks-d02-i011,2,1
dstar,rubiks-d02-i012,2,1
dstar,rubiks-d02-i013,2,1
dstar,rubiks-d02-i014,2,1
dstar,rubiks-d02-i015,2,1
dstar,rubiks-d02-i016,2,1
dstar,rubiks-d02-i017,2,1
dstar,rubiks-d02-i018,2,1
dstar,rubiks-d02-i019,2,1
dstar,rubiks-d02-i020,2,1
dstar,rubiks-d02-i021,2,1
dstar,rubiks-d02-i022,2,1
dstar,rubiks-d02-i023,2,2
dstar,rubiks-d02-i024,2,1
dstar,rubiks-d02-i025,2,1
dstar,rubiks-d02-i026,2,1
dstar,rubiks-d02-i027,2,1
dstar,rubiks-d02-i028,2,2
dstar,rubiks-d02-i029,2,1
dstar,rubiks-d02-i030,2,1
dstar,rubiks-d02-i031,2,1
dstar,rubiks-d02-i032,2,1
dstar,rubiks-d02-i033,2,1
dstar,rubiks-d02-i034,2,1
dstar,rubiks-d02-i035,2,1
dstar,rubiks-d02-i036,2,1
dstar,rubiks-d02-i037,2,2
dstar,rubiks-d02-i038,2,1
dstar,rubiks-d02-i039,2,1
dstar,rubiks-d02-i040,2,1
dstar,rubiks-d02-i041,2,1
dstar,rubiks-d02-i042,2,1
dstar,rubiks-d02-i043,2,1
dstar,rubiks-d02-i044,2,1
dstar,rubiks-d02-i045,2,1
dstar,rubiks-d02-i046,2,1
dstar,rubiks-d02-i047,2,1
dstar,rubiks-d02-i048,2,1
dstar,rubiks-d02-i049,2,1
dstar,rubiks-d02-i050,2,2
dstar,rubiks-d03-i001,3,1
dstar,rubiks-d03-i002,3,1
dstar,rubiks-d03-i003,3,1
dstar,rubiks-d03-i004,3,1
dstar,rubiks-d03-i005,3,1
dstar,rubiks-d03-i006,3,1
dstar,rubiks-d03-i007,3,1
dstar,rubiks-d03-i008,3,1
dstar,rubiks-d03-i009,3,1
dstar,rubiks-d03-i010,3,1
dstar,rubiks-d03-i011,3,2
dstar,rubiks-d03-i012,3,1
dstar,rubiks-d03-i013,3,1
dstar,rubiks-d03-i014,3,1
dstar,rubiks-d03-i015,3,1
dstar,rubiks-d03-i016,3,1
dstar,rubiks-d03-i017,3,1
dstar,rubiks-d03-i018,3,1
dstar,rubiks-d03-i019,3,1
dstar,rubiks-d03-i020,3,1
dstar,rubiks-d03-i021,3,1
dstar,rubiks-d03-i022,3,1
dstar,rubiks-d03-i023,3,1
dstar,rubiks-d03-i024,3,1
dstar,rubiks-d03-i025,3,1
dstar,rubiks-d03-i026,3,1
dstar,rubiks-d03-i027,3,1
dstar,rubiks-d03-i028,3,1
dstar,rubiks-d03-i029,3,1
dstar,rubiks-d03-i030,3,1
dstar,rubiks-d03-i031,3,1
dstar,rubiks-d03-i032,3,1
dstar,rubiks-d03-i033,3,1
dstar,rubiks-d03-i034,3,1
dstar,rubiks-d03-i035,3,1
dstar,rubiks-d03-i036,3,1
dstar,rubiks-d03-i037,3,1
dstar,rubiks-d03-i038,3,1
dstar,rubiks-d03-i039,3,1
dstar,rubiks-d03-i040,3,1
dstar,rubiks-d03-i041,3,1
dstar,rubiks-d03-i042,3,1
dstar,rubiks-d03-i043,3,1
dstar,rubiks-d03-i044,3,1
dstar,rubiks-d03-i045,3,1
dstar,rubiks-d03-i046,3,1
dstar,rubiks-d03-i047,3,1
dstar,rubiks-d03-i048,3,1
dstar,rubiks-d03-i049,3,1
dstar,rubiks-d03-i050,3,1
dstar,rubiks-d04-i001,4,1
dstar,rubiks-d04-i002,4,1
dstar,rubiks-d04-i003,4,1
dstar,rubiks-d04-i004,4,1
dstar,rubiks-d04-i005,4,1
dstar,rubiks-d04-i006,4,1
dstar,rubiks-d04-i007,4,1
dstar,rubiks-d04-i008,4,2
dstar,rubiks-d04-i009,4,1
dstar,rubiks-d04-i010,4,1
dstar,rubiks-d04-i011,4,1
dstar,rubiks-d04-i012,4,1
dstar,rubiks-d04-i013,4,1
dstar,rubiks-d04-i014,4,1
dstar,rubiks-d04-i015,4,2
dstar,rubiks-d04-i016,4,1
dstar,rubiks-d04-i017,4,1
dstar,rubiks-d04-i018,4,1
dstar,rubiks-d04-i019,4,1
dstar,rubiks-d04-i020,4,1
dstar,rubiks-d04-i021,4,1
dstar,rubiks-d04-i022,4,1
dstar,rubiks-d04-i023,4,1
dstar,rubiks-d04-i024,4,1
dstar,rubiks-d04-i025,4,1
dstar,rubiks-d04-i026,4,1
dstar,rubiks-d04-i027,4,1
dstar,rubiks-d04-i028,4,1
dstar,rubiks-d04-i029,4,1
dstar,rubiks-d04-i030,4,2
dstar,rubiks-d04-i031,4,1
dstar,rubiks-d04-i032,4,1
dstar,rubiks-d04-i033,4,1
dstar,rubiks-d04-i034,4,1
dstar,rubiks-d04-i035,4,1
dstar,rubiks-d04-i036,4,1
dstar,rubiks-d04-i037,4,2
dstar,rubiks-d04-i038,4,1
dstar,rubiks-d04-i039,4,1
dstar,rubiks-d04-i040,4,1
dstar,rubiks-d04-i041,4,1
dstar,rubiks-d04-i042,4,1
