arm,axis,confirmatory,n,pass1,solved,value,view,wilson_hi,wilson_lo
gpt55-base,nominal_length,True,50,0.16,8,1,process,0.2851,0.0834
gpt55-base,nominal_length,True,50,0.0,0,2,process,0.0714,0.0
gpt55-base,nominal_length,True,50,0.0,0,3,process,0.0714,0.0
gpt55-base,nominal_length,True,50,0.0,0,4,process,0.0714,0.0
gpt55-base,nominal_length,True,50,0.0,0,5,process,0.0714,0.0
gpt55-base,nominal_length,True,50,0.0,0,6,process,0.0714,0.0
gpt55-base,nominal_length,True,50,0.0,0,7,process,0.0714,0.0
gpt55-base,nominal_length,True,50,0.0,0,8,process,0.0714,0.0
gpt55-base,verified_d_star,True,51,0.1569,8,1,process,0.2801,0.0817
gpt55-base,verified_d_star,True,52,0.0,0,2,process,0.0688,0.0
gpt55-base,verified_d_star,True,51,0.0,0,3,process,0.07,0.0
gpt55-base,verified_d_star,True,50,0.0,0,4,process,0.0714,0.0
gpt55-base,verified_d_star,True,58,0.0,0,5,process,0.0621,0.0
gpt55-base,verified_d_star,True,48,0.0,0,6,process,0.0741,0.0
gpt55-base,verified_d_star,True,45,0.0,0,7,process,0.0787,0.0
gpt55-base,verified_d_star,True,45,0.0,0,8,process,0.0787,0.0
gpt55-reason,nominal_length,True,50,0.86,43,1,process,0.9305,0.7381
gpt55-reason,nominal_length,True,50,0.8,40,2,process,0.8876,0.6696
gpt55-reason,nominal_length,True,50,0.6,30,3,process,0.7239,0.4618
gpt55-reason,nominal_length,True,50,0.16,8,4,process,0.2851,0.0834
gpt55-reason,nominal_length,True,50,0.04,2,5,process,0.1346,0.011
gpt55-reason,nominal_length,True,50,0.0,0,6,process,0.0714,0.0
gpt55-reason,nominal_length,True,50,0.04,2,7,process,0.1346,0.011
gpt55-reason,nominal_length,True,50,0.0,0,8,process,0.0714,0.0
gpt55-reason,verified_d_star,True,51,0.8627,44,1,process,0.9319,0.7428
gpt55-reason,verified_d_star,True,52,0.7885,41,2,process,0.8776,0.6597
gpt55-reason,verified_d_star,True,51,0.6078,31,3,process,0.7297,0.4708
gpt55-reason,verified_d_star,True,50,0.14,7,4,process,0.2619,0.0695
gpt55-reason,verified_d_star,True,58,0.0345,2,5,process,0.1173,0.0095
gpt55-reason,verified_d_star,True,48,0.0,0,6,process,0.0741,0.0
gpt55-reason,verified_d_star,True,45,0.0,0,7,process,0.0787,0.0
gpt55-reason,verified_d_star,True,45,0.0,0,8,process,0.0787,0.0
gpt55-base,nominal_length,True,16,0.1875,3,1,unique-states-sensitivity,0.4301,0.0659
gpt55-base,nominal_length,True,45,0.0,0,2,unique-states-sensitivity,0.0787,0.0
gpt55-base,nominal_length,True,49,0.0,0,3,unique-states-sensitivity,0.0727,0.0
gpt55-base,nominal_length,True,50,0.0,0,4,unique-states-sensitivity,0.0714,0.0
gpt55-base,nominal_length,True,50,0.0,0,5,unique-states-sensitivity,0.0714,0.0
gpt55-base,nominal_length,True,50,0.0,0,6,unique-states-sensitivity,0.0714,0.0
gpt55-base,nominal_length,True,50,0.0,0,7,unique-states-sensitivity,0.0714,0.0
gpt55-base,nominal_length,True,50,0.0,0,8,unique-states-sensitivity,0.0714,0.0
gpt55-base,verified_d_star,True,16,0.1875,3,1,unique-states-sensitivity,0.4301,0.0659
gpt55-base,verified_d_star,True,47,0.0,0,2,unique-states-sensitivity,0.0756,0.0
gpt55-base,verified_d_star,True,51,0.0,0,3,unique-states-sensitivity,0.07,0.0
gpt55-base,verified_d_star,True,50,0.0,0,4,unique-states-sensitivity,0.0714,0.0
gpt55-base,verified_d_star,True,58,0.0,0,5,unique-states-sensitivity,0.0621,0.0
gpt55-base,verified_d_star,True,48,0.0,0,6,unique-states-sensitivity,0.0741,0.0
gpt55-base,verified_d_star,True,45,0.0,0,7,unique-states-sensitivity,0.0787,0.0
gpt55-base,verified_d_star,True,45,0.0,0,8,unique-states-sensitivity,0.0787,0.0
gpt55-reason,nominal_length,True,16,0.75,12,1,unique-states-sensitivity,0.8982,0.505
gpt55-reason,nominal_length,True,45,0.7778,35,2,unique-states-sensitivity,0.8746,0.6373
gpt55-reason,nominal_length,True,49,0.5918,29,3,unique-states-sensitivity,0.7178,0.4525
gpt55-reason,nominal_length,True,50,0.16,8,4,unique-states-sensitivity,0.2851,0.0834
gpt55-reason,nominal_length,True,50,0.04,2,5,unique-states-sensitivity,0.1346,0.011
gpt55-reason,nominal_length,True,50,0.0,0,6,unique-states-sensitivity,0.0714,0.0
gpt55-reason,nominal_length,True,50,0.04,2,7,unique-states-sensitivity,0.1346,0.011
gpt55-reason,nominal_length,True,50,0.0,0,8,unique-states-sensitivity,0.0714,0.0
gpt55-reason,verified_d_star,True,16,0.75,12,1,unique-states-sensitivity,0.8982,0.505
gpt55-reason,verified_d_star,True,47,0.766,36,2,unique-states-sensitivity,0.864,0.6278
gpt55-reason,verified_d_star,True,51,0.6078,31,3,unique-states-sensitivity,0.7297,0.4708
gpt55-reason,verified_d_star,True,50,0.14,7,4,unique-states-sensitivity,0.2619,0.0695
gpt55-reason,verified_d_star,True,58,0.0345,2,5,unique-states-sensitivity,0.1173,0.0095
gpt55-reason,verified_d_star,True,48,0.0,0,6,unique-states-sensitivity,0.0741,0.0
gpt55-reason,verified_d_star,True,45,0.0,0,7,unique-states-sensitivity,0.0787,0.0
gpt55-reason,verified_d_star,True,45,0.0,0,8,unique-states-sensitivity,0.0787,0.0
