arm,nominal_length,collapse_fraction,projected_pass1,observed_pass1,solved,n
gpt55-base,1,0.0,0.1111,0.16,8,50
gpt55-base,2,0.0,0.0,0.0,0,50
gpt55-base,3,0.02,0.0022,0.0,0,50
gpt55-base,4,0.04,0.0,0.0,0,50
gpt55-base,5,0.02,0.0,0.0,0,50
gpt55-base,6,0.14,0.0,0.0,0,50
gpt55-base,7,0.12,0.0,0.0,0,50
gpt55-base,8,0.1,0.0,0.0,0,50
gpt55-reason,1,0.0,0.8889,0.86,43,50
gpt55-reason,2,0.0,0.88,0.8,40,50
gpt55-reason,3,0.02,0.5862,0.6,30,50
gpt55-reason,4,0.04,0.2272,0.16,8,50
gpt55-reason,5,0.02,0.09,0.04,2,50
gpt55-reason,6,0.14,0.0332,0.0,0,50
gpt55-reason,7,0.12,0.016,0.04,2,50
gpt55-reason,8,0.1,0.004,0.0,0,50
