effect_pattern,delta,extra_discordance_kappa,n_per_depth,sims,power_primary_pooled_mcnemar,power_any_perdepth_after_holm,power_single_depth_at_bonferroni
uniform-7-of-7,0.1,0.05,50,2000,1.0,0.397,0.07
uniform-7-of-7,0.1,0.05,100,2000,1.0,0.957,0.361
uniform-7-of-7,0.1,0.15,50,2000,0.965,0.311,0.059
uniform-7-of-7,0.1,0.15,100,2000,0.999,0.773,0.199
uniform-7-of-7,0.15,0.05,50,2000,1.0,0.869,0.264
uniform-7-of-7,0.15,0.05,100,2000,1.0,1.0,0.747
uniform-7-of-7,0.15,0.15,50,2000,1.0,0.652,0.13
uniform-7-of-7,0.15,0.15,100,2000,1.0,0.991,0.484
uniform-7-of-7,0.2,0.05,50,2000,1.0,0.992,0.498
uniform-7-of-7,0.2,0.05,100,2000,1.0,1.0,0.944
uniform-7-of-7,0.2,0.15,50,2000,1.0,0.907,0.286
uniform-7-of-7,0.2,0.15,100,2000,1.0,1.0,0.758
uniform-7-of-7,0.3,0.05,50,2000,1.0,1.0,0.872
uniform-7-of-7,0.3,0.05,100,2000,1.0,1.0,1.0
uniform-7-of-7,0.3,0.15,50,2000,1.0,0.999,0.664
uniform-7-of-7,0.3,0.15,100,2000,1.0,1.0,0.977
concentrated-3-of-7,0.1,0.05,50,2000,0.725,0.199,0.068
concentrated-3-of-7,0.1,0.05,100,2000,0.956,0.733,0.369
concentrated-3-of-7,0.1,0.15,50,2000,0.407,0.158,0.056
concentrated-3-of-7,0.1,0.15,100,2000,0.715,0.467,0.183
concentrated-3-of-7,0.15,0.05,50,2000,0.949,0.603,0.261
concentrated-3-of-7,0.15,0.05,100,2000,1.0,0.983,0.741
concentrated-3-of-7,0.15,0.15,50,2000,0.711,0.358,0.138
concentrated-3-of-7,0.15,0.15,100,2000,0.951,0.845,0.464
concentrated-3-of-7,0.2,0.05,50,2000,0.995,0.876,0.501
concentrated-3-of-7,0.2,0.05,100,2000,1.0,1.0,0.942
concentrated-3-of-7,0.2,0.15,50,2000,0.912,0.642,0.287
concentrated-3-of-7,0.2,0.15,100,2000,0.998,0.985,0.752
concentrated-3-of-7,0.3,0.05,50,2000,1.0,0.999,0.873
concentrated-3-of-7,0.3,0.05,100,2000,1.0,1.0,0.999
concentrated-3-of-7,0.3,0.15,50,2000,0.997,0.961,0.657
concentrated-3-of-7,0.3,0.15,100,2000,1.0,1.0,0.973
